Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson,,Customer_Type
S00067,CU0691,C0047,22-09-2025,2,62601,Cash,Austin Johnson,,Repeating Customer
S00068,CU1088,C0338,24-11-2023,1,46031,Installment,Elizabeth Morrow,,New Customer
S00069,CU1456,C0414,20-09-2025,3,42076,Credit,David Summers,,Loyal Customer
S00070,CU1431,C0239,09-02-2025,2,92096,Credit,Jeffrey Salinas,,Repeating Customer
S00071,CU0461,C0464,17-12-2023,3,46237,Credit,Tim Harris,,Loyal Customer
S00072,CU0585,C0424,16-01-2024,3,91637,Credit,Bianca Price,,Loyal Customer
S00073,CU1279,C0347,13-07-2023,2,61290,Credit,Thomas Smith,,Repeating Customer
S00074,CU1528,C0477,14-01-2025,3,62849,Credit,Isaac Cox,,Loyal Customer
S00075,CU1080,C0060,31-08-2023,2,96661,Credit,James Wilkins,,Repeating Customer
S00076,CU0824,C0031,16-12-2024,3,77833,Credit,Steven Morgan,,Loyal Customer
S00077,CU1066,C0154,27-04-2023,2,16960,Cash,Barbara Cameron,,Repeating Customer
S00078,CU1957,C0281,10-09-2023,1,59740,Credit,Richard Lin,,New Customer
S00079,CU0336,C0418,11-05-2024,1,30580,Installment,John Shaffer,,New Customer
S00080,CU0240,C0378,17-03-2025,1,92464,Cash,Catherine Jackson,,New Customer
S00081,CU0102,C0011,28-04-2023,2,46633,Cash,Jared Morris,,Repeating Customer
S00082,CU1861,C0056,16-06-2025,3,65431,Cash,Denise Sanders,,Loyal Customer
S00083,CU1789,C0252,25-10-2023,1,21663,Credit,Taylor Nguyen,,New Customer
S00084,CU1413,C0202,26-09-2024,3,45160,Installment,Margaret Mckinney,,Loyal Customer
S00085,CU1996,C0072,18-12-2023,2,66693,Credit,Joanna Franklin,,Repeating Customer
S00086,CU1555,C0458,16-01-2023,3,97628,Installment,Jason Hickman,,Loyal Customer
S00087,CU0669,C0001,25-09-2024,2,34314,Cash,Annette Murray,,Repeating Customer
S00088,CU1776,C0372,06-05-2025,1,39334,Installment,Sabrina Baxter,,New Customer
S00089,CU0792,C0176,17-10-2024,1,74747,Credit,Colleen Brooks,,New Customer
S00090,CU0593,C0029,21-10-2024,2,93571,Credit,Andrew Stephenson,,Repeating Customer
S00091,CU1653,C0221,17-10-2023,1,31017,Cash,Jasmine Berg,,New Customer
S00092,CU0648,C0268,07-05-2023,3,24370,Credit,Jocelyn Espinoza DDS,,Loyal Customer
S00093,CU0131,C0336,19-04-2023,3,17719,Installment,George Clark,,Loyal Customer
S00094,CU1147,C0394,02-03-2023,1,36684,Installment,Ms. Heather Martinez,,New Customer
S00095,CU1259,C0075,30-06-2024,3,81084,Cash,Miss Susan Taylor,,Loyal Customer
S00096,CU0993,C0147,04-06-2025,3,51776,Cash,Christine Gross,,Loyal Customer
S00097,CU0288,C0057,16-12-2023,3,67193,Credit,Melanie Palmer,,Loyal Customer
S00098,CU1159,C0379,03-03-2025,2,85321,Credit,Gloria Young,,Repeating Customer
S00099,CU1251,C0328,01-08-2023,3,21810,Installment,Dr. James Huber DDS,,Loyal Customer
S00100,CU1908,C0462,04-09-2023,3,24417,Installment,Kristen Rodriguez,,Loyal Customer
S00101,CU0389,C0396,07-05-2023,3,64133,Installment,Ruben Johnson,,Loyal Customer
S00102,CU1417,C0065,28-02-2024,1,43519,Cash,Kimberly Allen,,New Customer
S00103,CU1346,C0012,13-02-2023,1,70161,Installment,John Duran,,New Customer
S00104,CU0657,C0350,26-06-2024,3,67055,Credit,Jason Perez,,Loyal Customer
S00105,CU1097,C0182,06-10-2025,1,84527,Credit,Maureen Gutierrez,,New Customer
S00106,CU0933,C0453,23-02-2024,2,84365,Credit,Jessica Pacheco,,Repeating Customer
S00107,CU0685,C0192,10-08-2025,2,45673,Installment,James Kidd,,Repeating Customer
S00108,CU0217,C0042,06-08-2024,1,56387,Cash,Bradley Davila,,New Customer
S00109,CU0454,C0108,13-06-2023,3,56305,Credit,Bruce Griffith,,Loyal Customer
S00110,CU1214,C0271,13-02-2025,1,59501,Installment,Sean Arnold,,New Customer
S00111,CU0295,C0370,29-06-2024,3,91719,Credit,Amber Reyes,,Loyal Customer
S00112,CU0243,C0487,11-01-2025,1,45253,Installment,Kristina Fox,,New Customer
S00113,CU1227,C0388,25-04-2024,3,50982,Cash,Laura Williams,,Loyal Customer
S00114,CU0341,C0191,06-06-2025,1,64231,Credit,Larry Cruz,,New Customer
S00115,CU0012,C0177,25-11-2022,1,95356,Credit,Christina Jones,,New Customer
S00116,CU0130,C0364,09-10-2024,3,86214,Credit,Melanie Henry,,Loyal Customer
S00117,CU1620,C0482,14-12-2023,1,33098,Credit,Brenda Jackson,,New Customer
S00118,CU0581,C0229,31-03-2024,2,96006,Cash,Julia Reed,,Repeating Customer
S00119,CU1861,C0450,07-10-2025,1,99844,Credit,Carrie Alexander,,New Customer
S00120,CU0525,C0369,17-04-2025,2,94427,Cash,Susan Gonzalez,,Repeating Customer
S00121,CU1702,C0081,17-07-2025,2,76534,Credit,Amanda Owens,,Repeating Customer
S00122,CU0634,C0070,26-08-2024,1,21253,Installment,Lori Wallace,,New Customer
S00123,CU0587,C0364,05-06-2023,2,30091,Installment,Jessica Alvarez,,Repeating Customer
S00124,CU0257,C0450,05-07-2024,3,31278,Credit,Scott Woodard,,Loyal Customer
S00125,CU0191,C0082,09-03-2023,3,74121,Credit,Sue Nichols,,Loyal Customer
S00126,CU1605,C0127,29-11-2024,1,28003,Installment,Kylie Huang,,New Customer
S00127,CU1585,C0325,12-11-2023,2,19640,Cash,Joseph Garcia,,Repeating Customer
S00128,CU1406,C0194,11-06-2025,1,87405,Installment,Kimberly Watts,,New Customer
S00129,CU1936,C0453,29-03-2025,3,98471,Credit,Russell Mathews,,Loyal Customer
S00130,CU0907,C0073,14-08-2023,3,73368,Installment,Lynn Lee,,Loyal Customer
S00131,CU1117,C0489,07-04-2024,3,88379,Credit,Monique Harrington,,Loyal Customer
S00132,CU1675,C0426,12-01-2023,3,36630,Credit,Richard Conley,,Loyal Customer
S00133,CU1234,C0481,27-12-2024,2,84336,Credit,Jennifer Lester,,Repeating Customer
S00134,CU1471,C0053,14-09-2023,3,57068,Credit,Joshua George MD,,Loyal Customer
S00135,CU1381,C0402,06-04-2024,3,31323,Cash,Jessica Jones,,Loyal Customer
S00136,CU1777,C0246,07-05-2024,2,60421,Installment,Jessica Gibson,,Repeating Customer
S00137,CU1460,C0071,02-06-2025,3,37738,Cash,Dr. William Jones,,Loyal Customer
S00138,CU0123,C0278,30-05-2023,1,51154,Installment,Sandra Stanley,,New Customer
S00139,CU0586,C0313,14-02-2025,1,81500,Credit,Stephanie Cummings,,New Customer
S00140,CU0908,C0257,12-07-2025,1,55078,Installment,Alexis Nixon,,New Customer
S00141,CU1887,C0440,15-05-2025,3,74575,Credit,Bryan Anderson,,Loyal Customer
S00142,CU1340,C0393,25-03-2023,1,96702,Cash,Christopher Alvarez,,New Customer
S00143,CU1259,C0418,17-11-2023,1,47008,Installment,Corey Hernandez,,New Customer
S00144,CU1467,C0493,27-06-2024,1,67410,Installment,Kevin Flynn,,New Customer
S00145,CU0037,C0251,04-02-2023,2,17034,Credit,Kristina Johnson,,Repeating Customer
S00146,CU0832,C0363,10-05-2023,2,49369,Installment,David Chaney,,Repeating Customer
S00147,CU0538,C0008,21-10-2024,2,77451,Installment,Melissa Thompson,,Repeating Customer
S00148,CU1969,C0485,20-03-2023,1,68902,Credit,Mrs. Maria Alvarado,,New Customer
S00149,CU1340,C0217,02-12-2024,1,76281,Credit,Bill Zavala,,New Customer
S00150,CU0605,C0150,27-06-2024,1,92641,Installment,Robert Underwood,,New Customer
S00151,CU0014,C0045,05-07-2023,3,85085,Cash,Jocelyn Nunez,,Loyal Customer
S00152,CU0416,C0062,11-10-2023,3,97692,Cash,Mark Hunt,,Loyal Customer
S00153,CU1143,C0225,10-07-2024,2,93063,Credit,Sarah Buchanan,,Repeating Customer
S00154,CU0586,C0442,20-04-2024,2,50811,Installment,Douglas Haynes,,Repeating Customer
S00155,CU0214,C0166,20-05-2025,3,57898,Cash,Keith Cardenas,,Loyal Customer
S00156,CU0102,C0042,29-02-2024,1,58654,Cash,Richard Hunter Jr.,,New Customer
S00157,CU1571,C0095,20-11-2024,2,65985,Cash,Lauren White,,Repeating Customer
S00158,CU0540,C0032,29-04-2023,3,25054,Installment,Danielle Espinoza,,Loyal Customer
S00159,CU1829,C0083,20-11-2022,3,82461,Credit,Nicole Hunter,,Loyal Customer
S00160,CU0627,C0141,18-06-2024,2,98225,Cash,Michele Harris,,Repeating Customer
S00161,CU1729,C0294,20-03-2024,2,65502,Installment,Jill Jimenez,,Repeating Customer
S00162,CU1775,C0463,17-01-2023,2,18968,Installment,Megan Montgomery,,Repeating Customer
S00163,CU1102,C0236,17-03-2024,1,65456,Cash,Carolyn Morton,,New Customer
S00164,CU1496,C0455,20-08-2024,1,56207,Installment,Colin Myers,,New Customer
S00165,CU0486,C0399,07-07-2025,2,24580,Installment,Paula Crawford,,Repeating Customer
S00166,CU1440,C0393,29-04-2023,1,58355,Cash,Russell Pitts,,New Customer
S00167,CU0715,C0025,15-09-2025,2,43930,Cash,Melissa Choi,,Repeating Customer
S00168,CU0194,C0219,12-03-2025,1,71958,Installment,Savannah Miller,,New Customer
S00169,CU0781,C0397,24-02-2023,2,35901,Installment,Gary Hampton,,Repeating Customer
S00170,CU0885,C0128,04-04-2023,1,92359,Cash,David Webster,,New Customer
S00171,CU0620,C0104,16-07-2024,3,78698,Credit,Dustin Lee,,Loyal Customer
S00172,CU0182,C0039,01-04-2023,1,15656,Credit,Susan Harris,,New Customer
S00173,CU0614,C0100,28-07-2025,3,26131,Credit,John Mcgee,,Loyal Customer
S00174,CU1584,C0038,29-01-2023,3,89450,Credit,Derek Wolf,,Loyal Customer
S00175,CU1259,C0352,09-06-2025,1,72631,Credit,Cassandra Salazar,,New Customer
S00176,CU0595,C0089,16-05-2023,2,58555,Credit,Maria Holmes,,Repeating Customer
S00177,CU1976,C0358,19-03-2024,2,31921,Installment,Cheyenne Carey,,Repeating Customer
S00178,CU1627,C0243,09-08-2023,3,92385,Installment,Brian Rocha,,Loyal Customer
S00179,CU1486,C0222,05-03-2025,3,24468,Cash,Rachel Guerrero,,Loyal Customer
S00180,CU0201,C0311,05-02-2024,3,97186,Installment,James Watts,,Loyal Customer
S00181,CU0357,C0306,17-08-2025,1,40462,Installment,Samuel Reynolds,,New Customer
S00182,CU1865,C0265,24-03-2025,1,29628,Installment,Robert Jackson,,New Customer
S00183,CU0263,C0301,27-07-2023,2,99653,Credit,George Jenkins,,Repeating Customer
S00184,CU0993,C0147,20-11-2024,3,22578,Cash,Jose House,,Loyal Customer
S00185,CU0549,C0484,28-10-2024,1,91529,Installment,Mario Bowers,,New Customer
S00186,CU0361,C0019,03-06-2024,1,24362,Installment,Kimberly Smith,,New Customer
S00187,CU1192,C0111,27-12-2023,3,39246,Installment,Jennifer Stevenson,,Loyal Customer
S00188,CU0357,C0165,24-06-2025,1,37557,Credit,Jennifer Hayden,,New Customer
S00189,CU1221,C0286,10-09-2023,3,75212,Credit,Joshua Maldonado,,Loyal Customer
S00190,CU1655,C0298,25-06-2025,2,64748,Cash,John Turner,,Repeating Customer
S00191,CU1545,C0223,22-02-2025,3,86966,Installment,Mr. Steve Wallace,,Loyal Customer
S00192,CU0377,C0288,23-12-2022,2,78737,Installment,Mark Hensley,,Repeating Customer
S00193,CU0086,C0196,06-08-2024,3,49143,Cash,Brian Wright,,Loyal Customer
S00194,CU0319,C0443,06-12-2022,2,29860,Cash,Scott Sharp,,Repeating Customer
S00195,CU1296,C0099,28-09-2024,2,54511,Installment,Andrew Todd,,Repeating Customer
S00196,CU1409,C0163,21-10-2024,3,22083,Cash,Rachel Garcia,,Loyal Customer
S00197,CU0412,C0102,03-08-2024,3,73170,Credit,Ellen Smith,,Loyal Customer
S00198,CU0280,C0094,28-04-2025,2,19753,Cash,Charles Crosby,,Repeating Customer
S00199,CU0384,C0120,25-12-2024,2,80958,Credit,Stephanie Rice,,Repeating Customer
S00200,CU0178,C0302,21-11-2023,3,82337,Credit,Daniel Murray,,Loyal Customer
S00201,CU1253,C0287,20-10-2023,1,68800,Cash,Janet Hanson,,New Customer
S00202,CU0096,C0373,21-01-2025,1,72923,Installment,Angela Davis,,New Customer
S00203,CU0550,C0266,06-10-2023,2,51539,Cash,Michael Anderson,,Repeating Customer
S00204,CU1956,C0096,19-10-2025,2,75440,Installment,Jeremiah Benson,,Repeating Customer
S00205,CU0850,C0266,28-05-2025,2,84566,Cash,Jeffrey Gonzalez,,Repeating Customer
S00206,CU0074,C0232,26-01-2025,1,95300,Credit,Mr. Bryan Johnson,,New Customer
S00207,CU0421,C0222,28-07-2024,2,59323,Cash,Jason Harris,,Repeating Customer
S00208,CU0295,C0128,07-09-2023,1,47049,Installment,Joshua Garrett,,New Customer
S00209,CU0824,C0185,03-06-2023,2,96746,Credit,Daniel Cooper,,Repeating Customer
S00210,CU1261,C0310,14-12-2024,2,34674,Installment,Kyle Howard Jr.,,Repeating Customer
S00211,CU0597,C0070,26-05-2025,1,45107,Installment,James Johnson,,New Customer
S00212,CU0254,C0168,04-10-2024,1,98774,Installment,Julie Jordan,,New Customer
S00213,CU1962,C0096,28-06-2025,2,96114,Credit,Laura Gibson,,Repeating Customer
S00214,CU1822,C0265,03-04-2024,1,82673,Cash,Matthew Schneider,,New Customer
S00215,CU0012,C0123,06-06-2023,3,61217,Credit,Candace Howard,,Loyal Customer
S00216,CU1506,C0366,20-07-2023,1,67455,Credit,Kenneth Rodriguez,,New Customer
S00217,CU0468,C0196,27-07-2024,2,76737,Installment,David Meadows,,Repeating Customer
S00218,CU0065,C0120,29-08-2023,2,58952,Credit,Michael Bowers,,Repeating Customer
S00219,CU1309,C0298,09-07-2023,3,41716,Credit,Kyle King,,Loyal Customer
S00220,CU1850,C0032,14-10-2023,1,52198,Installment,Garrett Hoover,,New Customer
S00221,CU0520,C0304,06-03-2023,3,32534,Credit,Mr. Alan Edwards,,Loyal Customer
S00222,CU1161,C0465,16-04-2025,1,50935,Cash,Kim Wilson,,New Customer
S00223,CU0793,C0492,27-10-2025,1,43195,Cash,Brittany Mcclain,,New Customer
S00224,CU0561,C0028,05-07-2024,2,85561,Credit,Tracy Lambert,,Repeating Customer
S00225,CU1416,C0434,01-11-2024,3,65857,Installment,Ashley Dixon,,Loyal Customer
S00226,CU1924,C0414,15-10-2023,3,90355,Installment,Wesley Sanders,,Loyal Customer
S00227,CU1691,C0190,24-06-2023,2,57195,Cash,Craig Holland,,Repeating Customer
S00228,CU1585,C0168,06-06-2025,1,29997,Cash,Andrea White,,New Customer
S00229,CU1309,C0234,25-01-2024,2,56022,Credit,Michael Mitchell,,Repeating Customer
S00230,CU0547,C0321,03-04-2024,1,58160,Installment,Richard Walker,,New Customer
S00231,CU0718,C0052,17-03-2025,1,88853,Cash,Chloe Lopez,,New Customer
S00232,CU0197,C0182,17-10-2023,2,61925,Installment,Christine Mccarthy,,Repeating Customer
S00233,CU0673,C0410,31-10-2024,2,35485,Installment,Rhonda Baker,,Repeating Customer
S00234,CU0644,C0486,11-03-2024,2,46903,Installment,Andrew Frost,,Repeating Customer
S00235,CU0522,C0280,05-04-2025,2,74243,Cash,Thomas Carey,,Repeating Customer
S00236,CU1467,C0140,26-12-2022,1,92987,Cash,Rebecca Smith,,New Customer
S00237,CU1782,C0137,22-07-2025,3,27852,Installment,Andrew Medina,,Loyal Customer
S00238,CU1117,C0227,15-04-2025,1,45546,Cash,Susan Harrell,,New Customer
S00239,CU0579,C0427,18-03-2024,3,81423,Installment,Jessica Evans,,Loyal Customer
S00240,CU1261,C0077,26-05-2025,1,59198,Installment,Patricia Maxwell,,New Customer
S00241,CU0256,C0034,09-07-2024,2,41986,Credit,Eric Roach,,Repeating Customer
S00242,CU1745,C0333,28-10-2024,2,56631,Installment,Christine Foley,,Repeating Customer
S00243,CU0251,C0111,27-11-2024,3,89056,Installment,James Hernandez,,Loyal Customer
S00244,CU1930,C0430,02-11-2022,2,32520,Credit,Nicole Bishop,,Repeating Customer
S00245,CU0758,C0053,07-11-2023,1,30471,Cash,Scott Moreno,,New Customer
S00246,CU0681,C0083,29-07-2025,3,26373,Cash,Claire Wilson,,Loyal Customer
S00247,CU1423,C0462,02-08-2025,3,81290,Cash,Joshua Bell,,Loyal Customer
S00248,CU0943,C0077,20-01-2025,2,90198,Cash,Jason Johnston,,Repeating Customer
S00249,CU1098,C0149,30-11-2024,1,54758,Installment,Cody Williams,,New Customer
S00250,CU1441,C0243,03-02-2024,1,88267,Installment,Gina Deleon,,New Customer
S00251,CU1924,C0218,21-11-2022,3,38229,Installment,Mark Martinez,,Loyal Customer
S00252,CU0508,C0257,23-07-2024,2,57451,Installment,Andrew Taylor,,Repeating Customer
S00253,CU1206,C0409,09-02-2023,3,75302,Installment,Cindy Reynolds,,Loyal Customer
S00254,CU0387,C0401,10-01-2025,2,60181,Cash,Paul Waters,,Repeating Customer
S00255,CU0183,C0020,24-08-2025,3,58811,Installment,Taylor Holt,,Loyal Customer
S00256,CU0740,C0334,28-06-2025,3,88589,Installment,James Clark,,Loyal Customer
S00257,CU1935,C0305,24-02-2025,2,18220,Credit,Jessica Martinez,,Repeating Customer
S00258,CU0588,C0185,24-01-2025,2,34751,Installment,Mr. John Zhang Jr.,,Repeating Customer
S00259,CU0576,C0102,21-09-2025,1,33153,Installment,Rhonda Martinez,,New Customer
S00260,CU1278,C0180,01-06-2023,1,78165,Credit,Trevor Garcia,,New Customer
S00261,CU1040,C0240,08-08-2024,2,87438,Credit,Roy Williams,,Repeating Customer
S00262,CU0076,C0047,01-03-2024,2,71217,Cash,Andres Valencia,,Repeating Customer
S00263,CU0157,C0212,05-12-2022,3,17840,Cash,Bryan Robinson,,Loyal Customer
S00264,CU1405,C0165,14-06-2023,3,64231,Installment,Sue Maldonado,,Loyal Customer
S00265,CU0766,C0186,15-08-2025,2,95447,Credit,Nicole Bernard,,Repeating Customer
S00266,CU1571,C0248,09-09-2023,2,79945,Credit,Jessica Watson,,Repeating Customer
S00267,CU1327,C0350,03-06-2025,3,51518,Installment,Dr. Nicholas Berry Jr.,,Loyal Customer
S00268,CU0614,C0121,11-06-2024,1,25276,Cash,Lauren Phillips,,New Customer
S00269,CU1642,C0142,09-05-2025,2,59562,Cash,Kelly Harrison,,Repeating Customer
S00270,CU0831,C0463,12-08-2023,2,68405,Installment,Patricia Briggs,,Repeating Customer
S00271,CU0389,C0090,31-10-2023,2,42933,Cash,Ricardo Salazar,,Repeating Customer
S00272,CU0040,C0305,05-04-2023,2,84361,Installment,Maurice Armstrong,,Repeating Customer
S00273,CU1635,C0178,10-07-2025,1,40520,Cash,Kari Anderson,,New Customer
S00274,CU1030,C0336,29-02-2024,2,36321,Installment,James Tate,,Repeating Customer
S00275,CU0229,C0427,28-11-2022,3,66971,Installment,Katelyn Williams DVM,,Loyal Customer
S00276,CU0608,C0229,31-07-2025,1,93860,Installment,Andrew Osborne,,New Customer
S00277,CU1215,C0479,14-09-2024,1,88240,Credit,Tammy Hawkins,,New Customer
S00278,CU1524,C0148,07-07-2024,1,54232,Credit,Karen Riley,,New Customer
S00279,CU1860,C0162,27-06-2024,3,93810,Cash,Tony Munoz,,Loyal Customer
S00280,CU1732,C0100,07-07-2024,1,64056,Cash,Nicholas Turner,,New Customer
S00281,CU1332,C0426,17-09-2025,1,19318,Credit,Natalie Reyes,,New Customer
S00282,CU1131,C0495,17-11-2022,2,74298,Credit,Jordan Bell,,Repeating Customer
S00283,CU0756,C0036,19-05-2024,3,51591,Cash,Alexander Hill,,Loyal Customer
S00284,CU1159,C0172,06-05-2024,3,96799,Installment,Brandon Gonzalez,,Loyal Customer
S00285,CU1982,C0438,01-05-2024,3,65232,Installment,April Sandoval,,Loyal Customer
S00286,CU0821,C0258,31-05-2024,1,28923,Credit,Victoria Martinez,,New Customer
S00287,CU0255,C0029,09-12-2022,1,29937,Credit,Linda Lawrence,,New Customer
S00288,CU0392,C0028,12-08-2023,2,82636,Installment,Kelly Howard,,Repeating Customer
S00289,CU1605,C0464,05-09-2025,2,52411,Cash,Vickie Hernandez,,Repeating Customer
S00290,CU1844,C0483,29-07-2024,3,73230,Installment,Danny Romero,,Loyal Customer
S00291,CU1550,C0096,04-07-2023,1,79064,Installment,Connie Ashley,,New Customer
S00292,CU0704,C0238,23-11-2022,2,61030,Installment,Gina Montgomery,,Repeating Customer
S00293,CU0404,C0240,25-07-2025,3,60845,Cash,Jerry Duncan,,Loyal Customer
S00294,CU1939,C0359,29-01-2024,1,76585,Cash,Brad Thomas,,New Customer
S00295,CU1959,C0460,06-08-2023,1,47243,Installment,Lori Brown,,New Customer
S00296,CU0522,C0450,12-07-2024,2,98646,Installment,Autumn Howe,,Repeating Customer
S00297,CU1114,C0318,02-06-2024,1,46838,Credit,Renee Henry,,New Customer
S00298,CU1943,C0467,01-08-2023,2,96710,Credit,Kathy Phillips,,Repeating Customer
S00299,CU1786,C0141,28-03-2024,3,54757,Installment,Melissa Leach,,Loyal Customer
S00300,CU0061,C0241,30-11-2022,2,55056,Credit,Robert Schwartz,,Repeating Customer
S00301,CU0856,C0441,22-09-2024,1,48809,Credit,Tyler Terry,,New Customer
S00302,CU0867,C0263,30-04-2024,3,60478,Installment,Stephanie Roberts,,Loyal Customer
S00303,CU1297,C0457,27-06-2025,1,53918,Installment,Karen Mason,,New Customer
S00304,CU0558,C0119,24-03-2024,2,89526,Installment,Charles Davis,,Repeating Customer
